epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
116,9082.91,0.87185,1.11873,0.59147,0.00368,0.1935,0.87591,0.80574,0.86931,0.7296,0.86296,0.78949,0.8462,0.60208,0.84557,1.23547,0.79853,0.00537,0,5.4707e-05,5.4707e-05,5.4707e-05
117,9160.08,0.86119,1.10062,0.57809,0.00364,0.19006,0.87362,0.80671,0.86842,0.72985,0.85864,0.79175,0.84614,0.60231,0.84454,1.22873,0.80293,0.00537,0,5.32088e-05,5.32088e-05,5.32088e-05
118,9237.69,0.85469,1.08719,0.57365,0.0036,0.19011,0.87032,0.81036,0.86844,0.7299,0.85695,0.79334,0.84661,0.6029,0.84265,1.2284,0.80849,0.00536,0,5.17106e-05,5.17106e-05,5.17106e-05
119,9315.42,0.85744,1.10656,0.57928,0.00361,0.18875,0.87114,0.80691,0.8683,0.72951,0.85251,0.79258,0.84452,0.60144,0.84256,1.22542,0.80629,0.00537,0,5.02124e-05,5.02124e-05,5.02124e-05
120,9392.99,0.85919,1.10215,0.57851,0.00363,0.18707,0.87403,0.8058,0.86799,0.72928,0.85968,0.79081,0.84616,0.60105,0.84433,1.22623,0.80701,0.00537,0,4.87142e-05,4.87142e-05,4.87142e-05
121,9470.63,0.85475,1.09613,0.57124,0.00358,0.18882,0.87442,0.81023,0.86839,0.73026,0.8628,0.79284,0.84685,0.60169,0.8445,1.22871,0.80125,0.0054,0,4.7216e-05,4.7216e-05,4.7216e-05
122,9548.38,0.84787,1.09371,0.56765,0.00356,0.18545,0.87509,0.80604,0.86805,0.72893,0.85771,0.7907,0.84489,0.59989,0.84856,1.22977,0.80399,0.00542,0,4.57178e-05,4.57178e-05,4.57178e-05
123,9625.94,0.85092,1.08672,0.56868,0.0036,0.18667,0.87786,0.80192,0.86766,0.72976,0.86743,0.78447,0.84464,0.60181,0.84369,1.22953,0.80423,0.00539,0,4.42196e-05,4.42196e-05,4.42196e-05
124,9703.59,0.84905,1.09312,0.57224,0.00357,0.18679,0.87826,0.80789,0.8685,0.73034,0.86418,0.79397,0.84669,0.60417,0.84201,1.231,0.81157,0.00535,0,4.27214e-05,4.27214e-05,4.27214e-05
125,9781.73,0.85117,1.09024,0.57296,0.00357,0.18803,0.87583,0.80699,0.86781,0.73007,0.85959,0.79351,0.8458,0.60071,0.84703,1.22969,0.8089,0.00543,0,4.12232e-05,4.12232e-05,4.12232e-05
126,9859.49,0.85446,1.09869,0.57455,0.00357,0.18629,0.87456,0.80577,0.86868,0.7297,0.86007,0.78928,0.84395,0.60054,0.8471,1.22748,0.80377,0.00542,0,3.9725e-05,3.9725e-05,3.9725e-05
127,9936.92,0.85463,1.09531,0.56958,0.00357,0.18553,0.88038,0.80631,0.86863,0.73068,0.86543,0.78816,0.84462,0.60155,0.84191,1.22374,0.80944,0.00536,0,3.82268e-05,3.82268e-05,3.82268e-05
128,10015.1,0.85494,1.10424,0.57012,0.00358,0.18574,0.87585,0.8093,0.86908,0.73069,0.86188,0.79234,0.84531,0.60261,0.84301,1.22775,0.80236,0.00535,0,3.67286e-05,3.67286e-05,3.67286e-05
129,10092.4,0.84064,1.0773,0.56147,0.00354,0.18328,0.88073,0.80385,0.86736,0.73103,0.86384,0.79024,0.8446,0.60247,0.84195,1.22592,0.81194,0.00534,0,3.52304e-05,3.52304e-05,3.52304e-05
130,10170.2,0.85286,1.08533,0.5678,0.00355,0.1856,0.87684,0.80442,0.86738,0.73063,0.8601,0.79007,0.8442,0.60199,0.84311,1.23086,0.81118,0.00534,0,3.37322e-05,3.37322e-05,3.37322e-05
131,10248.1,0.85103,1.09373,0.56666,0.00353,0.18157,0.87551,0.80817,0.86816,0.73103,0.86065,0.79163,0.8439,0.60215,0.8449,1.23571,0.81036,0.00536,0,3.2234e-05,3.2234e-05,3.2234e-05
132,10325.2,0.8431,1.08228,0.55781,0.00353,0.18113,0.8732,0.81163,0.86959,0.73256,0.86134,0.79273,0.8458,0.60381,0.84162,1.23897,0.80798,0.00536,0,3.07358e-05,3.07358e-05,3.07358e-05
133,10403,0.8478,1.08381,0.55897,0.0035,0.18016,0.88058,0.80692,0.86956,0.73173,0.86633,0.78936,0.84603,0.60337,0.84333,1.23826,0.80723,0.00536,0,2.92376e-05,2.92376e-05,2.92376e-05
134,10481.3,0.84671,1.08542,0.55938,0.00351,0.18121,0.87051,0.8137,0.86865,0.73202,0.85535,0.79866,0.84562,0.60428,0.84285,1.24163,0.80741,0.00535,0,2.77394e-05,2.77394e-05,2.77394e-05
135,10558.5,0.84493,1.07607,0.56026,0.0035,0.18226,0.87374,0.81144,0.86926,0.73213,0.85771,0.79559,0.84536,0.60227,0.84171,1.23778,0.80695,0.00533,0,2.62412e-05,2.62412e-05,2.62412e-05
136,10635.8,0.84202,1.07681,0.55806,0.00352,0.18111,0.873,0.80967,0.86929,0.73235,0.8591,0.79287,0.84621,0.60458,0.84304,1.23544,0.80778,0.00536,0,2.4743e-05,2.4743e-05,2.4743e-05
137,10712.9,0.84305,1.07337,0.55666,0.00349,0.18033,0.86948,0.8113,0.8692,0.73188,0.86007,0.7905,0.84533,0.60385,0.8433,1.23548,0.80632,0.00536,0,2.32448e-05,2.32448e-05,2.32448e-05
138,10790.7,0.8392,1.06611,0.55293,0.00346,0.17957,0.87239,0.80815,0.86887,0.73208,0.85866,0.79082,0.84555,0.60455,0.83968,1.243,0.81095,0.00532,0,2.17466e-05,2.17466e-05,2.17466e-05
139,10868.4,0.84112,1.06927,0.5562,0.0035,0.17839,0.87447,0.80906,0.86902,0.73238,0.86145,0.79204,0.8458,0.60331,0.84185,1.24162,0.81105,0.00533,0,2.02484e-05,2.02484e-05,2.02484e-05
140,10945.8,0.83881,1.07389,0.55152,0.00345,0.18037,0.87889,0.80716,0.8688,0.73184,0.86372,0.79113,0.84515,0.60316,0.84135,1.24037,0.8114,0.00533,0,1.87502e-05,1.87502e-05,1.87502e-05
141,11028.9,0.80356,1.03993,0.49512,0.00422,0.10964,0.87837,0.80801,0.86883,0.73073,0.86392,0.79366,0.84609,0.60532,0.84356,1.24551,0.81582,0.00536,0,1.7252e-05,1.7252e-05,1.7252e-05
142,11102.6,0.78457,1.01767,0.47109,0.004,0.10006,0.87752,0.80765,0.86859,0.72996,0.8647,0.7912,0.84464,0.60286,0.84489,1.24592,0.81614,0.00537,0,1.57538e-05,1.57538e-05,1.57538e-05
143,11176.1,0.77807,1.00795,0.46875,0.00393,0.09869,0.87228,0.81262,0.86828,0.72933,0.86226,0.79144,0.84378,0.60302,0.84488,1.25002,0.81879,0.00538,0,1.42556e-05,1.42556e-05,1.42556e-05
144,11249.5,0.77961,1.01335,0.46674,0.00395,0.09779,0.87399,0.80931,0.86828,0.72999,0.86149,0.79082,0.84351,0.60268,0.84451,1.24929,0.81943,0.00537,0,1.27574e-05,1.27574e-05,1.27574e-05
145,11322.8,0.77402,1.00545,0.46225,0.00387,0.09705,0.87418,0.81145,0.86862,0.73064,0.85928,0.79268,0.84266,0.60219,0.84543,1.25441,0.81466,0.00538,0,1.12592e-05,1.12592e-05,1.12592e-05
146,11396.5,0.77835,1.01342,0.4628,0.00391,0.09712,0.87604,0.80852,0.8684,0.73071,0.86172,0.79048,0.8427,0.60106,0.84409,1.25065,0.81444,0.00537,0,9.761e-06,9.761e-06,9.761e-06
147,11469.9,0.77461,0.99799,0.45792,0.00386,0.09627,0.87933,0.80641,0.86822,0.73052,0.86302,0.78871,0.84264,0.60118,0.84401,1.25594,0.81583,0.00535,0,8.2628e-06,8.2628e-06,8.2628e-06
148,11543.6,0.77191,0.99548,0.46055,0.00389,0.09582,0.87362,0.81109,0.86862,0.73083,0.85967,0.79196,0.84348,0.60199,0.84323,1.25737,0.81871,0.00534,0,6.7646e-06,6.7646e-06,6.7646e-06
149,11617.2,0.77279,1.00608,0.46147,0.00387,0.09669,0.87236,0.8114,0.86867,0.73092,0.85977,0.79147,0.8427,0.60141,0.84311,1.25874,0.81808,0.00535,0,5.2664e-06,5.2664e-06,5.2664e-06
150,11690.6,0.77149,1.00371,0.45725,0.00382,0.09465,0.87554,0.81002,0.86855,0.73064,0.86221,0.79012,0.84294,0.60228,0.84273,1.25845,0.81873,0.00535,0,3.7682e-06,3.7682e-06,3.7682e-06
