epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,2163.24,1.01494,1.35019,0.87514,0.00483,0.31871,0.82627,0.7781,0.84139,0.68421,0.81728,0.76086,0.82071,0.57668,0.92054,1.24924,0.83691,0.00612,0,0.000188047,0.000188047,0.000188047
28,2240.87,1.02631,1.36951,0.87177,0.00478,0.31666,0.83106,0.77132,0.84113,0.68172,0.82221,0.76035,0.82176,0.56932,0.92485,1.25325,0.83726,0.00607,0,0.000186549,0.000186549,0.000186549
29,2318.8,1.01476,1.34644,0.86309,0.00477,0.30924,0.83358,0.76956,0.84631,0.68602,0.82952,0.7547,0.82625,0.57364,0.92791,1.26382,0.82098,0.00633,0,0.00018505,0.00018505,0.00018505
30,2396.22,1.02329,1.36435,0.86859,0.00477,0.3113,0.83365,0.772,0.84336,0.68673,0.82701,0.75689,0.82103,0.56601,0.91492,1.24124,0.82753,0.00603,0,0.000183552,0.000183552,0.000183552
31,2474.21,1.00711,1.3393,0.85165,0.00474,0.30819,0.82711,0.78427,0.84512,0.68818,0.81728,0.77195,0.82428,0.57137,0.91422,1.24784,0.81092,0.006,0,0.000182054,0.000182054,0.000182054
32,2552.02,1.00283,1.33338,0.8399,0.00469,0.30184,0.83359,0.7663,0.83852,0.68354,0.82758,0.7509,0.81588,0.56837,0.92105,1.24882,0.84306,0.00612,0,0.000180556,0.000180556,0.000180556
33,2629.56,1.00836,1.33646,0.83881,0.00474,0.29482,0.84102,0.77476,0.84535,0.69053,0.83253,0.75616,0.8231,0.57503,0.91483,1.24109,0.81708,0.00603,0,0.000179058,0.000179058,0.000179058
34,2706.97,1.00074,1.32232,0.82562,0.00468,0.29776,0.83473,0.78596,0.85052,0.69395,0.83526,0.76418,0.82965,0.57726,0.91428,1.23811,0.80933,0.00606,0,0.000177559,0.000177559,0.000177559
35,2784.98,1.00027,1.31518,0.82615,0.00465,0.29091,0.85828,0.77285,0.85475,0.69829,0.85071,0.76056,0.83566,0.58063,0.90417,1.23095,0.79805,0.00603,0,0.000176061,0.000176061,0.000176061
36,2862.56,0.99425,1.31327,0.81056,0.00461,0.28768,0.8431,0.77822,0.84882,0.69712,0.83993,0.76186,0.82816,0.57801,0.9023,1.24021,0.81322,0.00587,0,0.000174563,0.000174563,0.000174563
37,2939.67,0.98259,1.28895,0.80165,0.00457,0.28426,0.83237,0.79204,0.84984,0.69355,0.82535,0.77236,0.82896,0.58212,0.90482,1.23747,0.81021,0.00598,0,0.000173065,0.000173065,0.000173065
